EMPIRE_BM_TECH_1,帝国テクノロジーレベル 1 で入手可能な闇市場アイテムです。
TEXT_SPEECH_UW_ACT03_G19_05,イブリス: 私は間違っていた。 パルパティンは狂っており邪悪だが、 お前はそれ以上だ。 お前は銀河の生命力を吸い取る寄生虫のようだ。
TEXT_SPEECH_UW_ACT03_G19_06,タイバー・ザン: 馬鹿なことを。 私は単なる実業家だ。 人は求めているものを買う。 そして、 誰もが何かを求めているのだ。 お前を見てみろ。 反乱のために私の助けを求めているじゃないか。
TEXT_SPEECH_UW_ACT03_G19_07,イブリス: 考え直した。 新共和国が、 お前に恩義を負ったまま自由になることなどありえない。
TEXT_SPEECH_UW_ACT03_G19_08,タイバー・ザン: だがお前は私に恩がある。 命を借じているのだ。 さあ、 行け。
TEXT_SPEECH_UW_ACT03_G19_09,ウライ・フェン: 彼を逃すのが賢明なことか?
TEXT_SPEECH_UW_ACT03_G19_10,タイバー・ザン: 反乱軍をこれ以上怒らせるのは無意味だ。 私が殺してしまえば、 彼は妻のアリニャのことを二度と知ることができなくなる。 それに、 彼が知っていようと知っていまいと、 彼は我々に何かを与えてくれたのだ・・・
TEXT_SPEECH_UW_ACT03_G20_01,タイバー・ザン: 反乱軍に潜り込ませたスパイのおかげで、 皇帝とベイダーの両方がエンドア系にいることが分かっている。 ということは、 コルサントは無防備な状態だ。
TEXT_SPEECH_UW_ACT03_G20_02,ウライ・フェン: コルサントへ?
TEXT_SPEECH_UW_ACT03_G20_03,タイバー・ザン: そこがアーティファクトの追跡先だろう? あらゆる兆候から見て、 それは皇帝の帝国アーカイブにある。 帝国は、 帝国アーカイブへのこれほど大胆な襲撃には不意を突かれるはずだ。 あのパスキーは、 事実上我々のものだ。
TEXT_SPEECH_UW_ACT03_G20_04,ウライ・フェン: 皇帝とベイダーが不在だとしても、 コルサントは厳重な警備が敷かれているはずだ。
TEXT_SPEECH_UW_ACT03_G20_05,タイバー・ザン: ベスピンでの IG-88 の協力のおかげで、 干渉を受けることなく着陸できるはずだ。 シルリを連れて、 コルサントの帝国アーカイブへの襲撃準備をしろ。 皇帝がエンドアから戻る前に、 侵入して脱出せねばならん。
TEXT_SPEECH_UW_ACT03_G20_06,ウライ・フェン: これにシルリを同行させるつもりか? 私は・・・
TEXT_SPEECH_UW_ACT03_G20_07,タイバー・ザン: 彼女は・・・ 予測不能なところはあるが、 強力で有用だ。 だが、 準備しておけ。 もし彼女が何かを仕掛こうとしたなら、 お前の力を借りることにする。
TEXT_SPEECH_UW_ACT03_G20_08,ウライ・フェン: 準備はできている。 機会があれば、 その時を楽しみにしているよ。
TEXT_SPEECH_UW_ACT03_G21_01,シルリ: フォースに大きな揺らぎを感じる・・・ 暗黒面からバランスが逸れていった。
TEXT_SPEECH_UW_ACT03_G21_02,タイバー・ザン: それはとてもいいことのようだが、 それが何を意味するのだ?
TEXT_SPEECH_UW_ACT03_G21_03,シルリ: 皇帝とベイダー・・・ 彼らは死んだ。 反乱軍が彼らを倒したに違いない・・・
TEXT_SPEECH_UW_ACT03_G21_04,ウライ・フェン: 反乱軍はそれを事実だと主張しており、 ホロネットのいたるところで放送されている。
TEXT_SPEECH_UW_ACT03_G21_05,タイバー・ザン: 皇帝が死んだことで、 帝国は混乱に陥るだろう。 クアット艦隊の船のほとんどは、 エンドアの戦いから戻って再編されるはずだ。 今こそ攻撃の時だ! 我々はエクリプスを制圧しなければならん。
TEXT_SPEECH_UW_ACT03_M11_00,シルリ: タイバー・ザンは愚か者だ。 私がアーティファクトを皇帝の手に残すと思うとは。 これは私のものよ!
TEXT_SPEECH_UW_ACT03_M11_01,シルリ: ダーク・トルーパーか。 ふん、 無効化されていれば大した脅威ではないわ。
TEXT_SPEECH_UW_ACT03_M11_02,シルリ: アーティファクトの力が感じられる、 すぐ近くにあるはずよ!
TEXT_SPEECH_UW_ACT03_M11_03,シルリ: どの方向?
TEXT_SPEECH_UW_ACT03_M11_04,シルリ: あそこね。 その秘密をすべて手に入れたら、 私に命令をしようとするあの愚か者共を二人とも殺してやる。
TEXT_SPEECH_UW_ACT03_M11_05,シルリ: 何かがおかしい・・・ 闇・・・ フォースに強大な力が・・・ 。
TEXT_SPEECH_UW_ACT03_M11_06,フォースの使い手: 上陸した瞬間にお前の気配を感じたぞ、 魔女よ。 ダソミアに留まっておけばよかったのだ。
TEXT_SPEECH_UW_ACT03_M11_07,シルリ: 私は選んだ惑星ならどこでも安全よ、 この哀れな弱者め。
TEXT_SPEECH_UW_ACT03_M11_08,フォースの使い手: お前の首と、 その獣の首を戦利品にするぞ!
TEXT_SPEECH_UW_ACT03_M11_09,フォースの使い手: そのアーティファクトを離せ、 魔女よ。
TEXT_SPEECH_UW_ACT03_M11_10,シルリ: その秘密も、 お前の命も私のものよ!
TEXT_SPEECH_UW_ACT03_M11_11,シルリ: 逃げ場がないみたいね、 外に出る方法を見つけなきゃ。
TEXT_SPEECH_UW_ACT03_M11_12,警備員: 誰かにここへ入れたことを知られたら、 俺は殺される。
TEXT_SPEECH_UW_ACT03_M11_13,タイバー・ザン: おそらくその通りだな。
TEXT_SPEECH_UW_ACT03_M11_14,フォースの使い手: ほう・・・ 偉大なるタイバー・ザンか。 ここにいるとは予想しなかったぞ。
TEXT_SPEECH_UW_ACT03_M11_15,タイバー・ザン: お前も死ぬとは思っていなかっただろう。 だが、 私は驚かせてやるぞ。
TEXT_SPEECH_UW_ACT03_M11_16,タイバー・ザン: それでカメラの始末は済んだ。
TEXT_SPEECH_UW_ACT03_M11_17,ウライ・フェン: お前の内側にあるフォースの暗黒面を感じる。 手強い相手と対峙してからは、 随分と時が経ったな。 私を失望させるなよ。
TEXT_SPEECH_UW_ACT03_M11_18,ウライ・フェン: あともう 3 人いる。
TEXT_SPEECH_UW_ACT03_M11_19,ウライ・フェン: 電源が切れた。 さて、 タイバーのもとへ行かねば。
TEXT_SPEECH_UW_ACT03_M11_20,タイバー・ザン: 博物館の防衛網が落ちた今、 念のために少し追加の警備を呼び込める。 前方にあの MDU を置いておいて正解だったな。
TEXT_SPEECH_UW_ACT03_M11_21,タイバー・ザン: くそっ! 罠だ!
TEXT_SPEECH_UW_ACT03_M11_22,ウライ・フェン: この扉はリモコンで閉じられている。 開けることはできない。
TEXT_SPEECH_UW_ACT03_M11_23,ウライ・フェン: わかった!
TEXT_SPEECH_UW_ACT03_M11_24,タイバー・ザン: 間に合ったな。
TEXT_SPEECH_UW_ACT03_M11_25,ウライ・フェン: パスキーを見つけるのに数分くれ・・・
TEXT_SPEECH_UW_ACT03_M11_26,タイバー・ザン: ふむ・・・ 予期していなかったセキュリティシステムだ。 今まさに警備員がこちらに向かっているのは間違いない。 扉の制御を解除するには、 奴らを破壊せねばならん。
TEXT_SPEECH_UW_ACT03_M11_27,ウライ・フェン: わかった。 秘密保管庫に他に何か欲しいものはあるか?
TEXT_SPEECH_UW_ACT03_M11_28,タイバー・ザン: 魅力的だが、 時間がない。 我々の目的は計画書だ。 まだ可能うちにここを離れよう。
TEXT_SPEECH_UW_ACT03_M11_29,シルリ: 何なの、 私のペットよ?
TEXT_SPEECH_UW_ACT03_M11_30,タイバー・ザン: なぜあのものがケージから出ている? それに、 なぜ格納庫で待っていないんだ?
TEXT_SPEECH_UW_ACT03_M11_31,シルリ: 私・・・ 何かを感じたから、 調査しに行ったの。
TEXT_SPEECH_UW_ACT03_M11_32,ウライ・フェン: お前のことは後で相手をする。 こちらへ。 急げ!
TEXT_SPEECH_UW_ACT03_M11_33,フォースの使い手: 止まれ、 盗賊共よ! 奪ったものを返せ。 そうすれば、 素早く苦痛のない死を約束しよう。
TEXT_SPEECH_UW_ACT03_M11_34,タイバー・ザン: お前は私の正体を全く知らんだろうな・・・
TEXT_SPEECH_UW_ACT03_M11_35,フォースの使い手: お前の正体も、 なぜここにいるのかも、 正確にわかっているぞ。
TEXT_SPEECH_UW_ACT03_M11_36,シルリ: 彼はテレポーターよ! これは面白くなりそうね。
TEXT_SPEECH_UW_ACT03_M11_37,タイバー・ザン: お前は実に控えめな表現の達人だな。 MDU はまだ残っているか?
TEXT_SPEECH_UW_ACT03_M11_38,タイバー・ザン: 本当に必要だったのか?
TEXT_SPEECH_UW_ACT03_M11_39,ウライ・フェン: これが何だか分かっていないのか? これはジャガーノートだぞ!
TEXT_SPEECH_UW_ACT03_M11_40,シルリ: ここから出ましょう。
TEXT_SPEECH_UW_ACT03_M11_41,タイバー・ザン: 誰にも嘘はつかない。 皇帝の個人アーカイブへの侵入は容易ではないが、 我々にはあのパスキーが必要だ。
TEXT_SPEECH_UW_ACT03_M11_42,タイバー・ザン: では、 計画を再確認しよう。 私が警備部門に潜り込み、 監視制御を無効化する。 そうすれば、 我々が保管庫に侵入している間にカメラを無効にできる。 その後は・・・ 。
TEXT_SPEECH_UW_ACT03_M11_43,ウライ・フェン: その後は、 私がメインの電源網に潜り込み、 遮断する。 これでタレット砲を無力化できる。
TEXT_SPEECH_UW_ACT03_M11_44,タイバー・ザン: ・・・ シルリ? 注意を払っているか?
TEXT_SPEECH_UW_ACT03_M11_45,シルリ: で、 私は待ってればいいってこと? あなたたち二人がすべての栄光を独り占めする間をね。
TEXT_SPEECH_UW_ACT03_M11_46,タイバー・ザン: お前は我々の唯一の脱出手段を守っているのだ。 忘れるな。 計画を手に入れたら、 出口の防衛を突破するための輸送船が必要になる。
TEXT_SPEECH_UW_ACT03_M11_47,シルリ: この任務が警備任務だとは気づかなかったわね。
TEXT_SPEECH_UW_ACT03_M11_48,ウライ・フェン: いつでも命じてくれ、 タイバー。 彼女を排除するのは喜んで引き受ける。
TEXT_SPEECH_UW_ACT03_M11_49,タイバー・ザン: 認めるのは不本意だが、 ウライ・・・ 彼女は案外悪くないと思っている。 まあ、 いつでも排除できるという選択肢があることは、 確かに安心だがな。
TEXT_SPEECH_UW_ACT03_M11_50,シルリ: 何かがおかしいわ・・・
TEXT_SPEECH_UW_ACT03_M11_51,タイバー・ザン: 保管庫が開いた。 中を見せてもらおう。
TEXT_SPEECH_UW_ACT03_M11_52,タイバー・ザン: なぜヤサラミリのケージが展開されないのだ? 厄介なことになったぞ!
TEXT_SPEECH_UW_ACT03_M11_53,タイバー・ザン: 全員輸送船へ乗り込め!
TEXT_SPEECH_UW_ACT03_M11_54,タイバー・ザン: もっと速く動け!
TEXT_SPEECH_UW_ACT03_M11_55,シルリ: レーザー防衛を起動して!
TEXT_SPEECH_UW_ACT03_M11_BOUNCE,タイバー・ザン: ウライ、 シルリ、 そして私自身がコルサントで必要だ。 三人揃わなければ、 侵入する術はない。
TEXT_SPEECH_UW_ACT03_M12_00,タイバー・ザン: これほど壮大なものは見たことがないぞ、 ウライ! 一度制圧すれば我々は・・・
TEXT_SPEECH_UW_ACT03_M12_01,ウライ・フェン: タイバー、 数個の接近中の艦隊を追跡している!
TEXT_SPEECH_UW_ACT03_M12_02,タイバー・ザン: おそらく、 ここを修復し、 再編しようとしている帝国艦隊の残党だろう。
TEXT_SPEECH_UW_ACT03_M12_03,ウライ・フェン: 他にも複数の同盟軍の反応がある。
TEXT_SPEECH_UW_ACT03_M12_04,タイバー・ザン: もうか? 思っていたより組織化されているな。 では、 急げ!
TEXT_SPEECH_UW_ACT03_M12_05,ハン・ソロ: 未確認の船よ、 このセクターに何的目的でいる?
TEXT_SPEECH_UW_ACT03_M12_06,タイバー・ザン: 我々は同盟軍のエンドアでの輝かしい勝利の報を聞き、 参戦に訪れたぞ!
TEXT_SPEECH_UW_ACT03_M12_07,ハン・ソロ: いいか! ザン、 もしお前がまともな奴なら、 あの超大型スター・デストロイヤーの破壊を手伝え。 十分な報酬を払ってやる。
TEXT_SPEECH_UW_ACT03_M12_08,タイバー・ザン: 我々とエクリプスの間にいくつか宇宙ステーションがあるようだ。 奴らを排除しろ!
TEXT_SPEECH_UW_ACT03_M12_09,ハン・ソロ: いいかザン、 俺が注意してないと思うなよ。 裏切りを察知したら、 一刻も無駄にせずお前を始末してやる。 あ、 それと・・・ 幸運を。
TEXT_SPEECH_UW_ACT03_M12_10,パイロット: エクリプス級スター・デストロイヤーのスキャンが完了した。 主兵装は機能しているようだ。 もしあのアリに乗船して、 あのスーパーレーザーを手に入れられたら・・・
TEXT_SPEECH_UW_ACT03_M12_11,タイバー・ザン: 私ならもうずっと先を行っている。 お前はあの防衛網を心配してくれ。
TEXT_SPEECH_UW_ACT03_M12_12,パイロット: 帝国艦がハイパースペースから脱出する。
TEXT_SPEECH_UW_ACT03_M12_13,パイロット: さらに反乱軍の船が接近している。
TEXT_SPEECH_UW_ACT03_M12_14,パイロット: 巨大な帝国艦隊がこちらに向かってきているぞ!
TEXT_SPEECH_UW_ACT03_M12_15,パイロット: 直撃だ! よし! ! !
TEXT_SPEECH_UW_ACT03_M12_16,パイロット: うわっ! あれを見ろ!
TEXT_SPEECH_UW_ACT03_M12_17,タイバー・ザン: ダラス・ピットでタカラム・ポッドを撃ち抜くようなものだな。
TEXT_SPEECH_UW_ACT03_M12_18,タイバー・ザン: あれは必要なかっただろう?
TEXT_SPEECH_UW_ACT03_M12_19,パイロット: なんて・・・ 閣下、 超大型スター・デストロイヤーが接近しています!
TEXT_SPEECH_UW_ACT03_M12_20,タイバー・ザン: あれには相当な費用がかかっただろうな。 まあ、 いいか。
TEXT_SPEECH_UW_ACT03_M12_21,タイバー・ザン: 皇帝が生きていれば、 彼はかなり不愉快に思っただろうな。
TEXT_SPEECH_UW_ACT03_M12_22,タイバー・ザン: 愚か者共め、 全く学ばぬな。
TEXT_SPEECH_UW_ACT03_M12_23,パイロット: エクリプス級のスーパーレーザーを制圧した!
TEXT_SPEECH_UW_ACT03_M12_24,タイバー・ザン: 素晴らしい! 狩りに出るぞ。
TEXT_SPEECH_UW_ACT03_M12_25,パイロット: 宇宙ステーションに接近中、 強奪プロトコルを開始する。
TEXT_SPEECH_UW_ACT03_M12_26,パイロット: 宇宙ステーションの主反応炉を破壊した!
TEXT_SPEECH_UW_ACT03_M12_27,パイロット: 手に入れたぞ! 宇宙ステーションは我々のものだ!
TEXT_SPEECH_UW_ACT03_M12_28,パイロット: エクリプスに接近中、 強奪プロトコルを開始する。
TEXT_SPEECH_UW_ACT03_M12_29,パイロット: エクリプスを制圧した。 機能している装備はほとんどないが、 スーパーレーザーは動作している。
TEXT_SPEECH_UW_ACT03_M12_30,ハン・ソロ: いいかザン、 遊びは終わりだ。 皇帝の新しい玩具を奪りたかったのか? 結構。 どれだけ長く手元に置けるか見てみせろ。
TEXT_SPEECH_UW_ACT03_M12_31,タイバー・ザン: はは! 反乱軍は目的を果たした・・・ 奴らを破壊せよ。
TEXT_SPEECH_UW_ACT03_M12_32,パイロット: 閣下! エクリプスが攻撃を受けています!
TEXT_SPEECH_UW_ACT03_M12_33,タイバー・ザン: エクリプスを失った、 全ユニット退却せよ。 繰り返す、 全ユニット退却せよ!
TEXT_SPEECH_UW_ACT03_M12_34,パイロット: エクリプスのスーパーレーザーが故障した! 修理に時間が必要だ!
TEXT_SPEECH_UW_ACT03_M12_35,パイロット: エクリプスのスーパーレーザーがオンラインに戻り、 発射準備完了だ!
TEXT_SPEECH_UW_ACT03_M12_BOUNCE,タイバー・ザン: 私の究極の勝利の瞬間を、 私なしに成し遂げられるはずもない。
TEXT_SPEECH_UW_ACT03_M12_BOUNCE_GEN,タイバー・ザン: 今のクアットはあまりにも危険すぎる。 この惑星を攻略しエクリプスに潜入するには、 まずは計画を練らねばならん。
TEXT_SPEECH_UW_CLD_01,ウライ・フェン: クング・イース知事は手強い相手だった。 彼を殺すつもりはない。 単に傷を負わせるだけで、 我々の目的は達成できるはずだ。 彼の強力な警備部隊を突破し、 彼を重傷を負わせることは、 適切なメッセージを伝えることになる。 ザン・コンソーシアムを否定する者はいない。 誰一人として。
TEXT_SPEECH_UW_CLD_02,ウライ・フェン: よくやった! 恐怖は我々の最も強力な武器の一つだ。 我々が知事にしたことは広まった。 数週間のうちに、 サルカミの全員が我々の言うことを聞くようになるだろう。 帝国軍も反乱軍も、 この惑星で特殊能力を使うことはできなくなる。
TEXT_SPEECH_UW_CLD_03,デフィラー: 我々の威圧的な評判により、 フェルーシアでの恐喝行為を成功させることに成功した。 その惑星はキノコの森があり原始的に見えるが、 集めるべき富は豊富にある。 住人たちはあらゆる種類の娯楽に飢えており、 我々の組織は彼らから資金を引き出すための多くのサービスを提供できる。
TEXT_SPEECH_UW_CLD_04,IG-88: 私の任務はケッセル系に入り、 帝国の通信衛星を特定することだ。 あのユニットを制圧すれば、 敵艦隊の動きが判明する。 帝国の艦隊の航路を誘導し、 船を奪い、 敵の補給線に混乱を引き起こすことができる。
TEXT_SPEECH_UW_CLD_05,IG-88: 私の計算を上回る成功を収めた。 艦隊に新たな船を追加した。 敵のクレジットを我々の金庫へと流し込んでいる。 通信衛星を制圧した結果、 輸送船が謎の消失を遂げているという報告もすでに耳に入っている。 この戦略は機能しているようで、 計画通りに進めるべきだ。
TEXT_SPEECH_UW_CLD_06,デフィラー: カシュイイクに徴兵センターを設置することに成功した。 ウーキーの食料供給を制限しており、 彼らは条件付けに対して良好に反応している。 約 300 人しか連隊を完了できなかった。 惑星は無事に汚染され、 これらのユニットを自由に使える。 コンソーシアム万歳!
TEXT_SPEECH_UW_CLD_07,デフィラー: 広大なクアットの造船所を制圧した。 敵の技術を貴殿の手に届けるための闇市場を設立した。 ザン・コンソーシアムは今後、 盗み出した計画を利用してユニットを建造できる。 クアットを支配する強力な一族からいくつか反発があったが、 現時点で我々を止めるための勢力基盤はもう存在しない。 コンソーシアム万歳!
TEXT_SPEECH_UW_CLD_08,ウライ・フェン: 我々の軍勢は惑星への進撃に向けて集結している。 我々はザン・コンソーシアムを裏切ることはない。
TEXT_SPEECH_UW_CLD_09,タイバー・ザン: よくやった。 この世界は無事に汚染された。
TEXT_SPEECH_UW_CLD_10,IG-88: 成功の確率を 98% と計算した。 戦闘開始!
TEXT_SPEECH_UW_END_CINEMATIC_00,タイバー・ザン: ウライ、 見えるか? 何十億ものクレジットだ! 何十年も隠されていた技術データだ! 代えがたい芸術品だ! 信じられん! これらの隠し保管庫には、 私にさえ想像もつかないほどの富があるぞ!
TEXT_SPEECH_UW_END_CINEMATIC_01,ウライ・フェン: 見事な勝利だ。 保管庫の中身とこの船があれば、 間もなく新たな銀河の皇帝が現れるかもしれんな。
TEXT_SPEECH_UW_END_CINEMATIC_02,タイバー・ザン: 半完成の 「 エクリプス 」 を保持しておく必要はない。 それに、 あれは反乱軍ですら見逃すことのできない標的だ。 パルパチンの保管庫から得た宝物があれば、 今なら私の組織を銀河中に広めることができる。 反乱軍に 「 新共和国 」 を築かせればいい! 私はずっと、 元老院議員を所有したかったのだ・・・
TEXT_SPEECH_UW_END_CINEMATIC_03,シルリ: もうすぐ、 力の真の意味を理解することになるわ、 タイバー・ザン。 私がそれを教える時が来ればね。
TEXT_SPEECH_UW_END_CINEMATIC_04,シルリ: ( 邪悪さに満ちた高らかな笑い )
TEXT_SPEECH_VAD_EVENT_FAVOR_02,おまえには将来性がある、 司令官。
TEXT_SPEECH_VAD_EVENT_FAVOR_03,おまえについては、 指揮官が正しいかもしれない。
TEXT_SPEECH_VAD_HC_01,待っていたぞ、 オビ=ワン!
TEXT_SPEECH_VAD_HC_02,お前と別れたときは、 まだ弟子の身だったがな。 今は、 この 「 私 」 がマスターなのだ!
TEXT_SPEECH_VAD_HC_03,パワーが衰えているぞ。 お前も年老いたな!
TEXT_SPEECH_VAD_HC_04,お前は姿を見せるべきではなかったのだ!
TEXT_SPEECH_VAD_HC_05,今日は記憶に残る 1 日になりそうだ。 ケノービは最期を迎え、 そして反乱軍も終焉を迎えるのだ!
TEXT_SPEECH_WAYLAND_BLK_VICTORY_COR50_02,デフィラー: ここには帝国と反乱軍の技術機密がある。 我々は現在、 それらを収集し始めている。
TEXT_SPEECH_WAYLAND_RKT_VICTORY_COR50_01,デフィラー: 我々は敵軍をここへ誘い込み、 宇宙で破壊した後の残骸を回収することに成功している。
TEXT_SPEECH_YAVIN_BRB_VICTORY_COR51_02,デフィラー: タイバー・ザンは反乱軍を取るに足らない存在だと思っているが、 彼らの指導者の一部を賄賂で手に入れることは有用かもしれない。
TEXT_SPEECH_YAVIN_RKT_VICTORY_COR51_01,デフィラー: 我々の組織はヤヴィン IV に設置された。 我々の汚染の取り組みは、 クレジットをもたらし、 おそらくこのセクターに関するさらなる知識ももたらすだろう。
TEXT_STEALTH_FLEET,この艦隊はステルス能力を備えているため、 敵の宇宙防衛隊には探知されません。
TEXT_STOP,停止
TEXT_STORY_AETENII_PIR_OBJECTIVE_01,5 つのスティギウム・クリスタル・カプセルを破壊せよ。
TEXT_STORY_AETENII_PIR_OBJECTIVE_01a,さらに 4 つのスティギウム・クリスタル・カプセルを破壊せよ。
TEXT_STORY_AETENII_PIR_OBJECTIVE_01b,さらに 3 つのスティギウム・クリスタル・カプセルを破壊せよ。
TEXT_STORY_AETENII_PIR_OBJECTIVE_01c,さらに 2 つのスティギウム・クリスタル・カプセルを破壊せよ。
TEXT_STORY_AETENII_PIR_OBJECTIVE_01d,最後のスティギウム・クリスタル・カプセルを破壊せよ。
TEXT_STORY_AETENII_PIR_OBJECTIVE_NOTICE,注意: スティギウム・クリスタル・カプセルが破壊された。
TEXT_STORY_ALZOCIII_INTIMIDATION_OBJECTIVE_01,10 個の獲物のシャークの頭を収集せよ。
TEXT_STORY_ALZOCIII_INTIMIDATION_OBJECTIVE_01a,さらに 9 個のシャークの頭を収集せよ。
TEXT_STORY_ALZOCIII_INTIMIDATION_OBJECTIVE_01b,さらに 8 個のシャークの頭を収集せよ。
TEXT_STORY_ALZOCIII_INTIMIDATION_OBJECTIVE_01c,さらに 7 個のシャークの頭を収集せよ。
TEXT_STORY_ALZOCIII_INTIMIDATION_OBJECTIVE_01d,さらに 6 個のシャークの頭を収集せよ。
TEXT_STORY_ALZOCIII_INTIMIDATION_OBJECTIVE_01e,さらに 5 個のシャークの頭を収集せよ。
TEXT_STORY_ALZOCIII_INTIMIDATION_OBJECTIVE_01f,さらに 4 個のシャークの頭を収集せよ。
TEXT_STORY_ALZOCIII_INTIMIDATION_OBJECTIVE_01g,さらに 3 個のシャークの頭を収集せよ。
TEXT_STORY_ALZOCIII_INTIMIDATION_OBJECTIVE_01h,さらに 2 個のシャークの頭を収集せよ。
TEXT_STORY_ALZOCIII_INTIMIDATION_OBJECTIVE_01i,さらに 1 個のシャークの頭を収集せよ。
TEXT_STORY_ALZOCIII_INTIMIDATION_OBJECTIVE_02,タイバーを使って、 シャークの頭を食料委員に届ける。
TEXT_STORY_DEMO_TUTORIAL_000,グランドモフ・ターキンからの通信を受信
TEXT_STORY_EMPIRE_ACT01_MISSION_FOUR_00,ジオノーシスの支配
TEXT_STORY_EMPIRE_ACT01_MISSION_FOUR_01,ジオノーシスの支配
TEXT_STORY_EMPIRE_ACT01_MISSION_FOUR_02,グランドモフ・ターキンはジオノーシスの資源を手に入れるべく、 ダース・ヴェイダーを送り込んだ。 この惑星を完全に支配するためには、 地上と宇宙空間の両方を制圧しなければならない。
TEXT_STORY_EMPIRE_ACT01_MISSION_FOUR_03,任務: 艦隊を編成し、 ダース・ヴェイダーをジオノーシスまで送り届けてください。 侵略を成功させるには多数の艦艇が必要になるでしょう。
TEXT_STORY_EMPIRE_ACT01_MISSION_FOUR_04,帝国はジオノーシス周辺の宇宙を制圧した。 次は地上の反乱軍を叩き潰さなければならない。 多くの生命が失われれば、 ジオノーシアンも甘んじて強制労働を受け入れるより他ないだろう。
TEXT_STORY_EMPIRE_ACT01_MISSION_FOUR_12,ジオノーシスの支配 - クリアせよ!
TEXT_STORY_EMPIRE_ACT01_MISSION_FOUR_13,ジオノーシアンと反乱軍による頑強な抵抗にあいながらも、 帝国はジオノーシスを手中に治めることに成功した。 惑星が産出する天然資源はデス・スター計画の資材となり、 ジオノーシアンはその建設作業に従事することになる。
TEXT_STORY_EMPIRE_ACT01_MISSION_FOUR_14,任務: エリア内の反乱軍とジオノーシアンをすべて破壊してください。
TEXT_STORY_EMPIRE_ACT01_MISSION_FOUR_15,ヒント: 原住民による怒涛の攻撃は、 彼らの家屋を破壊すれば押しとどめることができます。
TEXT_STORY_EMPIRE_ACT01_MISSION_FOUR_31,任務: 反乱軍の建物とユニットを残らず破壊してください。
TEXT_STORY_EMPIRE_ACT01_MISSION_FOUR_32,任務: 反乱軍の艦艇と宇宙ステーションを残らず破壊してください。
TEXT_STORY_EMPIRE_ACT01_MISSION_FOUR_33,反乱軍の宇宙ステーションを破壊せよ。
TEXT_STORY_EMPIRE_ACT01_MISSION_FOUR_34,反乱軍の艦艇を残らず破壊せよ。
TEXT_STORY_EMPIRE_ACT01_MISSION_FOUR_36,報酬: 新しいユニット - TIE スカウト と TIE モーラー
TEXT_STORY_EMPIRE_ACT01_MISSION_FOUR_38,任務: 反乱軍とジオノーシアンを、 建物も含めてせん滅しなさい。
TEXT_STORY_EMPIRE_ACT01_MISSION_THREE_25,タイフェラとフォンドアで手に入れた交信記録は、 アイラムに海賊の根城が存在する可能性を示していた。 もしそれが事実なら、 奇襲攻撃で叩くべきである。 そのためにヴェイダー卿はまずプローブ・ドロイドを送り込んだ。
TEXT_STORY_EMPIRE_ACT01_MISSION_THREE_26,任務: 宇宙ステーションのある星系でプローブ・ドロイドを造り、 アイラムに送り込んでください。
TEXT_STORY_EMPIRE_ACT01_MISSION_THREE_27,プローブ・ドロイドを送り込んだことによって、 アイラムの衛星軌道上に海賊の根城を発見することができた。 厚い防備に守られているようだ。 これを叩き、 ヴェイダー卿が求めている情報を手に入れるには、 火力はもちろんのこと、 ステルス能力も必要となるだろう。
TEXT_STORY_EMPIRE_ACT01_MISSION_THREE_28,海賊退治
TEXT_STORY_EMPIRE_ACT01_MISSION_THREE_29,海賊のメナス
TEXT_STORY_EMPIRE_ACT01_MISSION_THREE_30,海賊のメナス - クリアせよ!
TEXT_STORY_EMPIRE_ACT01_MISSION_THREE_31,ボバ･フェットは大金を積まれて帝国に雇われた。 海賊の根城の防備を探り、 帝国の主力艦隊が進入する前に警報システムを無効にするのが役目だ。
TEXT_STORY_EMPIRE_ACT01_MISSION_THREE_32,任務: 艦隊を編成し、 コルサントからアイラムまでボバ・フェットを送り届けてください。
TEXT_STORY_EMPIRE_ACT01_MISSION_THREE_33,海賊の拠点に対する攻撃は成功、 反乱軍の動きに関する有益な情報を得ることができた。 しかし、 裏切り者の正体はいまだ謎に包まれている。 反乱軍の徹底した秘匿工作によって、 帝国情報機関の調査も及ばないのだ。 その結果、 ダース･ヴェイダーは追跡の手を緩めるわけにいかない。
TEXT_STORY_EMPIRE_ACT01_MISSION_THREE_35,任務: 艦隊を編成し、 ダース･ヴェイダーをジオノーシスまで送り届けてください。
TEXT_STORY_EMPIRE_ACT01_MISSION_THREE_63,任務: ボバ・フェットを使ってセンサーポッドをすべて破壊してください。
TEXT_STORY_EMPIRE_ACT01_MISSION_THREE_65,ヒント: ボバ・フェット単独では海賊の基地を攻略できません。 増援オプションを選択し、 ユニットを増援ウィンドウから宇宙空間の空きエリアにドラッグしましょう。
TEXT_STORY_EMPIRE_ACT01_MISSION_THREE_66,海賊のセンサーポッドをすべて破壊せよ。
TEXT_STORY_EMPIRE_ACT01_MISSION_THREE_67,ボバ・フェットを死なせてはならない。
TEXT_STORY_EMPIRE_ACT01_MISSION_THREE_68,増援部隊を投入し宇宙ステーションを破壊し、 海賊のリーダーを叩き出せ。
TEXT_STORY_EMPIRE_ACT01_MISSION_THREE_69,海賊のリーダーが投降するまで攻撃を続けよ。 奴を逃がしてはならない。
